station,state,district,latitude,longitude,distance_km
Kishan Nagar,Odisha,CUTTACK,20.42666667,86.08916667,16.63393826216488
Naraj,Odisha,CUTTACK,20.47166667,85.76555556,19.46885750285686
Pubansa (S),Odisha,CUTTACK,20.46277778,86.24916667,31.436597044092398
Alipingal,Odisha,JAGATSINGHAPUR,20.22083333,86.14666667,37.20126103708453
Jenapur,Odisha,JAJAPUR,20.87888889,86.01444444,42.66053300038765
Indupur,Odisha,KENDRAPARA,20.61638889,86.39583333,48.1877132386752
Nimapara,Odisha,PURI,20.06083333,86.00638889,49.18600905693424
Akhuapada,Odisha,BHADRAK,20.91694444,86.27972222,57.667685944838986
Altuma,Odisha,DHENKANAL,20.93083333,85.51916667,65.59639578926297
Padmavati,Odisha,NAYAGARH,20.34388889,85.29611111,70.31552428334957
