distance_km,station,state,district,river,basin,latitude,longitude,observations
176.3092294210552,Champua_1,Odisha,KENDUJHAR,-,-,22.0658333,85.6822222,43537
702.3218760608978,Sonapur_1,West Bengal,NORTH DINAJPUR,-,-,26.45611111,88.24333333,21387
749.3552632122039,Toofanganj,West Bengal,COOCH BEHAR,-,-,26.30902778,89.67513889,19347
776.7529591899024,Melli_1,Sikkim,NAMCHI,-,-,27.08527778,88.49926667,42302
790.9519984731943,Singtam_2,Sikkim,GANGTOK DISTRICT,-,-,27.23138889,88.46643889,22355
790.9519984731943,Singtam_1,Sikkim,GANGTOK DISTRICT,-,-,27.23138889,88.46643889,1198
815.892005620986,Bakcha_1,Sikkim,NORTH DISTRICT,-,-,27.41749167,88.63019722,34375
1003.5968702321177,Tenga_1,Arunachal Pradesh,WEST KAMENG,-,-,27.202959,92.56508,43143
1084.2361495162102,Sagalee_1,Arunachal Pradesh,PAPUM PARE,-,-,27.21418,93.689478,40792
1186.7633380674686,Kanubari_1,Arunachal Pradesh,Longding,-,-,26.895655,95.290434,30661
1193.9433636197555,Tissa Camp_1,Arunachal Pradesh,TIRAP,-,-,26.913047,95.365031,10113
1213.3468651006226,Basar_1,Arunachal Pradesh,LEPA - RADA,-,-,27.982771,94.671573,46315
1219.9022572283836,Deomali_1,Arunachal Pradesh,TIRAP,-,-,27.200495,95.45841,55645
1224.970690535596,Kheri_5,Uttarakhand,Almora,-,-,29.6057,79.0927,28938
1225.0033569083137,Marchula_1,Uttarakhand,Nainital,-,-,29.60611111,79.09277778,71061
1233.2804915829076,Aalo_1,Arunachal Pradesh,WEST SIANG,-,-,28.13126,94.793982,9748
1234.2524776135374,Darak(Kamba),Arunachal Pradesh,WEST SIANG,-,-,28.25914,94.676782,14392
1237.9292382858532,Changlang_1,Arunachal Pradesh,CHANGLANG,-,-,27.132943,95.734207,31186
1274.3745476802947,Miao_2,Arunachal Pradesh,CHANGLANG,-,-,27.443221,95.940665,57200
1277.109964813952,Karnaprayag (P),Uttarakhand,Chamoli,-,-,30.2525,79.22138889,70344
1293.0569246334078,Rudraprayag_3,Uttarakhand,PAURI GARHWAL,-,-,30.276288,78.964854,12911
1293.090613675365,Ziro,Arunachal Pradesh,LOWER SUBANSIRI,-,-,30.28805556,78.98416667,66746
1298.5996786887356,Tengapani Bridge_1,Arunachal Pradesh,LOHIT,-,-,27.77368,95.975213,17075
1300.6845873190668,Lambagarh,Uttarakhand,Chamoli,-,-,30.66472222,79.5175,69520
1317.6876404485613,Koteshwar,Uttarakhand,Tehri Garhwal,-,-,30.26527778,78.50333333,68973
1328.1257817844562,Kamlang_1,Arunachal Pradesh,LOHIT,-,-,27.756516,96.358874,38467
1364.0921515468135,Tekhla,Uttarakhand,Uttarkashi,-,-,30.74805556,78.45333333,43121
1684.8122200268642,Upshi_1,Ladakh,Leh,-,-,33.8283,77.8155,18506
1717.0319698932649,Gulabgarh_4,Jammu & Kashmir,KISHTWAR,-,-,33.26307,76.16672,35934
1717.7765742550876,Changlang,Arunachal Pradesh,CHANGLANG,-,-,33.27138889,76.16666667,60220
